Date,Time,EthSourceHwAddress,Eth.DestinationHwAddress,IPSourceAddress,TCPSourcePort,IPDestinationAddress,TCPDestinationPort,IPTotalLength,TCPSyn,TCPFin,TCPAck,TCPWindowSize,TCPAcknowledgmentNumber,TCPSequenceNumber,IPTimeToLive
2019-07-04,05-34-17-730,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30262,145,False,False,True,64240,360139918,1152093790,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37194,94,False,False,True,64240,3125617391,1282557848,128
2019-07-04,05-34-17-731,50E549D02BD2,000C2916D761,192.168.137.10,37194,10.0.0.1,3128,98,False,False,True,63321,1282557902,3125617391,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37194,40,False,False,True,64240,3125617449,1282557902,128
2019-07-04,05-34-17-731,50E549D02BD2,000C2916D761,192.168.137.10,30262,10.0.0.1,3128,40,False,False,True,63836,1152093895,360139918,128
2019-07-04,05-34-17-731,50E549D02BD2,000C2916D761,192.168.137.10,33673,192.168.137.1,139,162,False,False,True,256,2793363612,2697476071,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,33673,40,False,False,True,256,2697476193,2793363612,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,33673,189,False,False,True,256,2697476193,2793363612,128
2019-07-04,05-34-17-731,50E549D02BD2,000C2916D761,192.168.137.10,37240,10.0.0.1,3128,315,False,False,True,63829,85937811,3697430056,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37240,40,False,False,True,64240,3697430331,85937811,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37240,103,False,False,True,64240,3697430331,85937811,128
2019-07-04,05-34-17-731,50E549D02BD2,000C2916D761,192.168.137.10,37240,10.0.0.1,3128,86,False,False,True,63766,85937874,3697430331,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37240,40,False,False,True,64240,3697430377,85937874,128
2019-07-04,05-34-17-731,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37240,135,False,False,True,64240,3697430377,85937874,128
2019-07-04,05-34-18-731,50E549D02BD2,000C2916D761,192.168.137.10,33673,192.168.137.1,139,40,False,False,True,256,2793363761,2697476193,128
2019-07-04,05-34-18-731,50E549D02BD2,000C2916D761,192.168.137.10,37240,10.0.0.1,3128,40,False,False,True,63671,85937969,3697430377,128
2019-07-04,05-34-20-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30262,145,False,False,True,64240,360139918,1152093895,128
2019-07-04,05-34-20-733,50E549D02BD2,000C2916D761,192.168.137.10,30262,10.0.0.1,3128,40,False,False,True,63731,1152094000,360139918,128
2019-07-04,05-34-21-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,36795,64,False,False,True,64240,1804393219,796210543,128
2019-07-04,05-34-21-733,50E549D02BD2,000C2916D761,192.168.137.10,36795,10.0.0.1,3128,68,False,False,True,63147,796210567,1804393219,128
2019-07-04,05-34-21-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,36795,40,False,False,True,64240,1804393247,796210567,128
2019-07-04,05-34-22-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,36883,94,False,False,True,64240,1450127922,1498715108,128
2019-07-04,05-34-23-733,50E549D02BD2,000C2916D761,192.168.137.10,36883,10.0.0.1,3128,40,False,False,True,63049,1498715162,1450127922,128
2019-07-04,05-34-24-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30262,145,False,False,True,64240,360139918,1152094000,128
2019-07-04,05-34-24-733,50E549D02BD2,000C2916D761,192.168.137.10,30262,10.0.0.1,3128,40,False,False,True,63626,1152094105,360139918,128
2019-07-04,05-34-27-733,50E549D02BD2,000C2916D761,192.168.137.10,30262,10.0.0.1,3128,209,False,False,True,63626,1152094105,360139918,128
2019-07-04,05-34-27-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30262,40,False,False,True,64240,360140087,1152094105,128
2019-07-04,05-34-27-733,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30262,129,False,False,True,64240,360140087,1152094105,128
2019-07-04,05-34-27-733,50E549D02BD2,000C2916D761,192.168.137.10,30262,10.0.0.1,3128,40,False,False,True,63537,1152094194,360140087,128
2019-07-04,05-34-27-733,50E549D02BD2,000C2916D761,192.168.137.10,33673,192.168.137.1,139,162,False,False,True,256,2793363761,2697476193,128
2019-07-04,05-34-27-733,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,33673,40,False,False,True,256,2697476315,2793363761,128
2019-07-04,05-34-27-733,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,33673,189,False,False,True,256,2697476315,2793363761,128
2019-07-04,05-34-27-733,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,37385,41,False,False,True,253,2759890333,2250954476,128
2019-07-04,05-34-27-733,50E549D02BD2,000C2916D761,192.168.137.10,37385,192.168.137.1,139,52,False,False,True,253,2250954477,2759890333,128
2019-07-04,05-34-28-734,50E549D02BD2,000C2916D761,192.168.137.10,33673,192.168.137.1,139,40,False,False,True,255,2793363910,2697476315,128
2019-07-04,05-34-29-734,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30356,72,False,False,True,64240,3202067329,278756911,128
2019-07-04,05-34-29-734,50E549D02BD2,000C2916D761,192.168.137.10,30356,10.0.0.1,3128,40,False,False,True,64208,278756943,3202067329,128
2019-07-04,05-34-31-734,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37476,117,False,False,True,64240,319517911,1582002102,128
2019-07-04,05-34-31-734,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37476,40,False,True,True,64240,319517911,1582002179,128
2019-07-04,05-34-31-734,50E549D02BD2,000C2916D761,192.168.137.10,37476,10.0.0.1,3128,40,False,False,True,64163,1582002180,319517911,128
2019-07-04,05-34-31-734,50E549D02BD2,000C2916D761,192.168.137.10,37476,10.0.0.1,3128,40,False,True,True,64163,1582002180,319517911,128
2019-07-04,05-34-31-734,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37476,40,False,False,True,64239,319517912,1582002180,128
2019-07-04,05-34-32-734,50E549D02BD2,000C2916D761,192.168.137.10,30314,10.0.0.1,3128,71,False,False,True,63138,21155999,1732326352,128
2019-07-04,05-34-32-734,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30314,40,False,False,True,64240,1732326383,21155999,128
2019-07-04,05-34-33-734,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30314,78,False,False,True,64240,1732326383,21155999,128
2019-07-04,05-34-33-734,50E549D02BD2,000C2916D761,192.168.137.10,30314,10.0.0.1,3128,40,False,False,True,63100,21156037,1732326383,128
2019-07-04,05-34-36-735,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,30266,121,False,False,True,64240,2138565943,854295479,128
2019-07-04,05-34-36-735,50E549D02BD2,000C2916D761,192.168.137.10,37194,10.0.0.1,3128,69,False,False,True,63321,1282557902,3125617449,128
2019-07-04,05-34-36-735,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37194,40,False,False,True,64240,3125617478,1282557902,128
2019-07-04,05-34-36-735,50E549D02BD2,000C2916D761,192.168.137.10,30266,10.0.0.1,3128,40,False,False,True,63673,854295560,2138565943,128
2019-07-04,05-34-37-735,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37194,65,False,False,True,64240,3125617478,1282557902,128
2019-07-04,05-34-37-735,50E549D02BD2,000C2916D761,192.168.137.10,37194,10.0.0.1,3128,40,False,False,True,63296,1282557927,3125617478,128
